sensor_id,timestamp,Heat,Noise
01,2024-10-01 00:00:00,44.35,58.84
01,2024-10-01 00:01:00,43.51,55.15
01,2024-10-01 00:02:00,43.09,62.13
01,2024-10-01 00:03:00,42.83,53.81
01,2024-10-01 00:04:00,41.07,58.58
01,2024-10-01 00:05:00,42.23,63.58
01,2024-10-01 00:06:00,42.63,56.5
01,2024-10-01 00:07:00,44.92,57.44
01,2024-10-01 00:08:00,43.87,59.42
01,2024-10-01 00:09:00,40.72,59.8
01,2024-10-01 00:10:00,43.87,52.68
01,2024-10-01 00:11:00,42.82,58.86
01,2024-10-01 00:12:00,42.4,61.73
01,2024-10-01 00:13:00,44.35,66.1
01,2024-10-01 00:14:00,44.99,57.37
01,2024-10-01 00:15:00,44.86,58.76
01,2024-10-01 00:16:00,42.22,60.87
01,2024-10-01 00:17:00,43.03,57.21
01,2024-10-01 00:18:00,44.01,64.1
01,2024-10-01 00:19:00,44.99,59.55
01,2024-10-01 00:20:00,42.83,60.32
01,2024-10-01 00:21:00,43.29,61.27
01,2024-10-01 00:22:00,41.92,54.53
01,2024-10-01 00:23:00,41.81,60.5
01,2024-10-01 00:24:00,44.84,57.78
01,2024-10-01 00:25:00,45.67,57.06
01,2024-10-01 00:26:00,43.55,61.06
01,2024-10-01 00:27:00,45.18,63.07
01,2024-10-01 00:28:00,44.24,59.68
01,2024-10-01 00:29:00,42.75,64.3
01,2024-10-01 00:30:00,44.28,58.99
01,2024-10-01 00:31:00,46.06,54.53
01,2024-10-01 00:32:00,43.72,56.2
01,2024-10-01 00:33:00,46.14,64.28
01,2024-10-01 00:34:00,39.88,65.05
01,2024-10-01 00:35:00,45.07,60.8
01,2024-10-01 00:36:00,43.99,57.86
01,2024-10-01 00:37:00,43.43,58.8
01,2024-10-01 00:38:00,44.04,59.59
01,2024-10-01 00:39:00,40.94,59.77
01,2024-10-01 00:40:00,43.61,61.41
01,2024-10-01 00:41:00,44.5,60.77
01,2024-10-01 00:42:00,46.2,56.17
01,2024-10-01 00:43:00,43.23,56.36
01,2024-10-01 00:44:00,42.82,61.38
01,2024-10-01 00:45:00,43.3,58.56
01,2024-10-01 00:46:00,45.45,59.52
01,2024-10-01 00:47:00,44.59,59.82
01,2024-10-01 00:48:00,43.33,58.15
01,2024-10-01 00:49:00,44.92,60.17
01,2024-10-01 00:50:00,44.31,61.85
01,2024-10-01 00:51:00,45.65,59.4
01,2024-10-01 00:52:00,43.16,63.91
01,2024-10-01 00:53:00,43.75,64.49
01,2024-10-01 00:54:00,43.68,57.27
01,2024-10-01 00:55:00,42.1,61.04
01,2024-10-01 00:56:00,44.76,59.1
01,2024-10-01 00:57:00,44.73,57.54
01,2024-10-01 00:58:00,44.37,59.72
01,2024-10-01 00:59:00,44.04,53.43
01,2024-10-01 01:00:00,42.29,62.18
01,2024-10-01 01:01:00,43.81,62.46
01,2024-10-01 01:02:00,43.95,60.55
01,2024-10-01 01:03:00,43.29,62.77
01,2024-10-01 01:04:00,44.28,57.78
01,2024-10-01 01:05:00,45.15,51.53
01,2024-10-01 01:06:00,47.4,58.45
01,2024-10-01 01:07:00,44.86,56.25
01,2024-10-01 01:08:00,45.02,59.94
01,2024-10-01 01:09:00,44.54,64.23
01,2024-10-01 01:10:00,41.81,60.81
01,2024-10-01 01:11:00,44.67,59.16
01,2024-10-01 01:12:00,44.83,63.27
01,2024-10-01 01:13:00,48.46,65.02
01,2024-10-01 01:14:00,44.51,61.29
01,2024-10-01 01:15:00,45.28,58.02
01,2024-10-01 01:16:00,44.8,60.34
01,2024-10-01 01:17:00,43.13,60.45
01,2024-10-01 01:18:00,46.63,59.42
01,2024-10-01 01:19:00,46.07,63.87
01,2024-10-01 01:20:00,46.16,62.54
01,2024-10-01 01:21:00,43.64,56.56
01,2024-10-01 01:22:00,47.13,56.24
01,2024-10-01 01:23:00,42.96,58.43
01,2024-10-01 01:24:00,45.97,57.06
01,2024-10-01 01:25:00,48.41,58.65
01,2024-10-01 01:26:00,43.66,60.06
01,2024-10-01 01:27:00,44.33,59.54
01,2024-10-01 01:28:00,45.36,60.6
01,2024-10-01 01:29:00,44.49,59.09
01,2024-10-01 01:30:00,42.95,55.92
01,2024-10-01 01:31:00,45.41,57.21
01,2024-10-01 01:32:00,43.74,56.96
01,2024-10-01 01:33:00,46.08,57.75
01,2024-10-01 01:34:00,44.02,61.36
01,2024-10-01 01:35:00,47.76,58.96
01,2024-10-01 01:36:00,44.29,57.38
01,2024-10-01 01:37:00,45.02,59.91
01,2024-10-01 01:38:00,46.75,61.06
01,2024-10-01 01:39:00,43.72,60.97
01,2024-10-01 01:40:00,45.94,67.43
01,2024-10-01 01:41:00,47.59,58.44
